src	dst	amount
U09cf1f359454	B45d72e29f004	-1
Cab47a458295f	U6d2f25cc4264	1
Uad577360d968	U000000000000	1
U861750348e9f	U000000000000	1
C3e84102071d1	U016217c34c6e	1
U016217c34c6e	U9a89e0679dec	1
B69723edfec8a	U5c827d7de115	1
Uc35c445325f5	U000000000000	1
U09cf1f359454	U8a78048d60f7	1
U0c17798eaab4	B0e230e9108dd	3
C6aebafa4fe8e	U9a2c85753a6d	1
U0c17798eaab4	C4e0db8dec53e	1
Uf2b0a6b1d423	U000000000000	1
U389f9f24b31c	Cfc639b9aa3e0	1
Uad577360d968	C0cd490b5fb6a	1
Uc3c31b8a022f	U1c285703fc63	1
Ucdffb8ab5145	Cf8fb8c05c116	1
U0cd6bd2dde4f	B9c01ce5718d1	1
U3c63a9b6115a	B9c01ce5718d1	3
B3b3f2ecde430	U7a8d8324441d	1
Ua1ca6a97ea28	U000000000000	1
B4f00e7813add	U09cf1f359454	1
U8a78048d60f7	B75a44a52fa29	3
U80e22da6d8c4	U0c17798eaab4	1
U9a2c85753a6d	C78ad459d3b81	1
U21769235b28d	C801f204d0da8	1
Uddd01c7863e9	U000000000000	1
U9a2c85753a6d	B3c467fb437b2	9
Uc1158424318a	C67e4476fda28	-1
C264c56d501db	U1bcba4fd7175	1
Cfe90cbd73eab	U499f24158a40	1
U79466f73dc0c	B1533941e2773	1
Uc3c31b8a022f	B45d72e29f004	3
Uaaf5341090c6	U000000000000	1
Uf2b0a6b1d423	C399b6349ab02	1
C8d80016b8292	U499f24158a40	1
Uf5096f6ab14e	B3b3f2ecde430	3
U6661263fb410	C6587e913fbbe	1
Uc1158424318a	Cfdde53c79a2d	6
U8a78048d60f7	Bb1e3630d2f4a	3
Uc1158424318a	C4e0db8dec53e	4
Ub192fb5e4fee	U000000000000	1
U7eaa146a4793	U000000000000	1
Udece0afd9a8b	Uadeb43da4abb	-1
U6d2f25cc4264	Bad1c69de7837	-1
